Place;FirstName;LastName;Car Class;Car Number;Car;Car Model;Laps;Best S1;Best S2;Best S3;Best lap;Best lap (ms);Ideal Best lap;Total Race Time;Lap Date;SteamId;Track;Place,FirstName,LastName,Class,Car Number,Car,Car Model,Laps,Best S1,Best S2,Best S3,Best lap,Best lap (ms),Ideal Best lap,Total Race Time,Lap Date,SteamId
0.0;Toby;Cirel;Am/reserve;33.0;BMW M4 GT3 2022;26.0;43.0;21.58;28.167;32.375;01:22.407;82407.0;01:22.122;59:03.501;2025-06-08;M2535459005860319;Laguna Seca;
0.0;Nick;Efdee;Pro;23.0;Ferrari 296 GT3;32.0;43.0;21.744;28.152;32.463;01:22.596;82596.0;01:22.359;59:11.628;2025-06-08;M2533274876472342;Laguna Seca;
0.0;Andrew;Mcvittie;Pro;116.0;Aston Martin Vantage V8 2019;20.0;43.0;21.69;28.32;32.637;01:22.887;82887.0;01:22.647;59:24.141;2025-06-08;M2533274896948119;Laguna Seca;
0.0;Ben;Jones;Pro;80.0;BMW M4 GT3 2022;26.0;43.0;21.897;28.267;32.595;01:22.857;82857.0;01:22.759;59:22.851;2025-06-08;M2562092466593675;Laguna Seca;
0.0;Zack;Gross;Am/reserve;27.0;Porsche 992 GT3 R;34.0;43.0;21.759;28.389;32.634;01:23.103;83103.0;01:22.782;59:33.429;2025-06-08;M2535430534227760;Laguna Seca;
0.0;Zoltán;Keszeli;Unknown;25.0;McLaren 720S GT3 Evo;35.0;43.0;21.632;28.16;32.372;01:22.267;82267.0;01:22.164;58:57.481;2025-06-08;M2535441603635242;Laguna Seca;
0.0;Sean;Briggs;Pro;88.0;Mercedes AMG GT3 2020;25.0;43.0;21.8;28.615;32.545;01:23.032;83032.0;01:22.960;59:30.376;2025-06-08;M2535426324983035;Laguna Seca;
0.0;Mark;Browning;Pro;55.0;Ferrari 296 GT3;32.0;43.0;21.85;28.525;32.98;01:23.632;83632.0;01:23.355;59:56.176;2025-06-08;M2533274796566438;Laguna Seca;
0.0;Graham;Kennedy;Pro;11.0;McLaren 720S GT3 Evo;35.0;43.0;21.915;28.577;32.742;01:23.327;83327.0;01:23.234;59:43.061;2025-06-08;M2533274817811996;Laguna Seca;
0.0;Linden;Hill;Silver;16.0;Bentley Continental GT3 2018;8.0;42.0;21.885;28.582;32.707;01:23.202;83202.0;01:23.174;58:14.484;2025-06-08;M2533274805889819;Laguna Seca;
